,change in diversity_index,2019 diversity_index,neighborhood,change in poverty_prop,2019 poverty_prop,change in white_prop,2019 white_prop,change in median_household_inc,2019 median_household_inc,change in singleunitbuilding_price,2019 singleunitbuilding_price,change in asian_prop,2019 asian_prop,change in black_prop,2019 black_prop,change in hispanic_prop,2019 hispanic_prop
0,0.0,0.55,canarsie,-7.0175438596491295,0.106,-14.056224899598396,0.214,18.447961899425692,84560.0,25.89317021856859,646260,45.94594594594595,0.054,1.2965964343598066,0.625,10.975609756097553,0.091
0,-7.142857142857148,0.52,carroll gardens,-32.743362831858406,0.076,9.003215434083609,0.678,62.08643815201192,163140.0,46.087215425077325,2649540,41.66666666666668,0.085,-1.1627906976744036,0.085,-46.96969696969697,0.105
0,5.084745762711869,0.62,central harlem,-28.46975088967972,0.201,31.355932203389834,0.155,34.60820895522388,57720.0,20.68548179430396,2343350,2.85714285714284,0.036,-7.337883959044357,0.543,0.0,0.236
0,7.142857142857128,0.6,chelsea,-5.128205128205132,0.111,-7.861635220125793,0.586,33.7567481740235,126360.0,-27.05625410219003,2545000,13.669064748201428,0.158,-26.984126984126988,0.046,38.09523809523808,0.174
0,2.8169014084507067,0.73,chinatown,8.108108108108103,0.24,-10.089020771513361,0.303,-15.481986368062318,43400.0,113.68326758886136,8038850,-5.47550432276656,0.328,18.749999999999993,0.076,10.917030567685588,0.254
0,7.142857142857128,0.6,clinton,-5.128205128205132,0.111,-7.861635220125793,0.586,33.7567481740235,126360.0,-27.05625410219003,2545000,13.669064748201428,0.158,-26.984126984126988,0.046,38.09523809523808,0.174
0,-1.449275362318826,0.68,co-op city,-21.34146341463415,0.129,-26.259946949602114,0.278,11.900191938579654,64130.0,16.56489678632551,551690,89.99999999999999,0.038,-20.000000000000007,0.22,41.157556270096464,0.439
0,6.122448979591842,0.52,concourse,-7.428571428571419,0.324,660.0,0.038,5.456226880394575,34210.0,3.814287350616624,543800,-23.52941176470589,0.013,-0.3048780487804881,0.327,-4.702194357366776,0.608
0,8.333333333333341,0.65,coney island,-8.571428571428578,0.256,-9.780775716694762,0.535,21.086894990093406,42780.0,26.706441922563418,607380,12.328767123287683,0.164,-9.836065573770489,0.11,17.599999999999994,0.147
0,-9.375000000000009,0.58,corona,-46.87500000000001,0.102,-34.567901234567906,0.053,40.8102175214528,70560.0,35.24610748367654,861680,0.0,0.353,-43.07692307692308,0.037,12.631578947368432,0.535
